School,School Code,Attendance Year,School Type,School Category,EQ Zone,Region,Local Government Area,FTE Days Attended,Possible Attendance Days,Attendance Rate
Abercorn State School,591,2011,State School,Primary,Remote,Central Queensland,North Burnett (R),1613,1782,90.5%
Abercorn State School,591,2012,State School,Primary,Remote,Central Queensland,North Burnett (R),1870,2016,92.8%
Abercorn State School,591,2013,State School,Primary,Remote,Central Queensland,North Burnett (R),2446,2604,93.9%
Abercorn State School,591,2014,State School,Primary,Remote,Central Queensland,North Burnett (R),2291.5,2422,94.6%
Abercorn State School,591,2015,State School,Primary,Remote,Central Queensland,North Burnett (R),1987.5,2103,94.5%
Abergowrie State School,1275,2011,State School,Primary,Rural,North Queensland,Hinchinbrook (S),976.5,1089,89.7%
Abergowrie State School,1275,2012,State School,Primary,Rural,North Queensland,Hinchinbrook (S),1167.5,1217,95.9%
Abergowrie State School,1275,2013,State School,Primary,Rural,North Queensland,Hinchinbrook (S),859,963,89.2%
Abergowrie State School,1275,2014,State School,Primary,Rural,North Queensland,Hinchinbrook (S),873,914,95.5%
Abergowrie State School,1275,2015,State School,Primary,Rural,North Queensland,Hinchinbrook (S),1007,1067,94.4%
Acacia Ridge State School,25,2011,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),24906.5,26896,92.6%
Acacia Ridge State School,25,2012,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),22759.5,24431,93.2%
Acacia Ridge State School,25,2013,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),18940.5,20559.5,92.1%
Acacia Ridge State School,25,2014,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),20669,22263.5,92.8%
Acacia Ridge State School,25,2015,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),22013.5,23881.5,92.2%
Agnes Water State School,1983,2011,State School,Primary,Rural,North Coast,Gladstone (R),20667,22762,90.8%
Agnes Water State School,1983,2012,State School,Primary,Rural,North Coast,Gladstone (R),23340.5,25695,90.8%
Agnes Water State School,1983,2013,State School,Primary,Rural,North Coast,Gladstone (R),25028,27682,90.4%
Agnes Water State School,1983,2014,State School,Primary,Rural,North Coast,Gladstone (R),24525.5,26979,90.9%
Agnes Water State School,1983,2015,State School,Primary,Rural,North Coast,Gladstone (R),21399.5,23425,91.4%
Airville State School,598,2011,State School,Primary,Rural,North Queensland,Burdekin (S),4125,4343,95.0%
Airville State School,598,2012,State School,Primary,Rural,North Queensland,Burdekin (S),3787.5,3950,95.9%
Airville State School,598,2013,State School,Primary,Rural,North Queensland,Burdekin (S),2987,3094,96.5%
Airville State School,598,2014,State School,Primary,Rural,North Queensland,Burdekin (S),3039.5,3112,97.7%
Airville State School,598,2015,State School,Primary,Rural,North Queensland,Burdekin (S),2426.5,2511,96.6%
Aitkenvale State School,801,2011,State School,Primary,Metropolitan,North Queensland,Townsville (C),33636,36603,91.9%
Aitkenvale State School,801,2012,State School,Primary,Metropolitan,North Queensland,Townsville (C),31571,33952,93.0%
Aitkenvale State School,801,2013,State School,Primary,Metropolitan,North Queensland,Townsville (C),36420,40606,89.7%
Aitkenvale State School,801,2014,State School,Primary,Metropolitan,North Queensland,Townsville (C),41454,46015,90.1%
Aitkenvale State School,801,2015,State School,Primary,Metropolitan,North Queensland,Townsville (C),36001,39542,91.0%
Albany Creek State High School,2155,2011,State High School,Secondary,Metropolitan,Metropolitan,Moreton Bay (R),100027,109754.5,91.1%
Albany Creek State High School,2155,2012,State High School,Secondary,Metropolitan,Metropolitan,Moreton Bay (R),97315.5,108624,89.6%
Albany Creek State High School,2155,2013,State High School,Secondary,Metropolitan,Metropolitan,Moreton Bay (R),91545.5,101054.5,90.6%
Albany Creek State High School,2155,2014,State High School,Secondary,Metropolitan,Metropolitan,Moreton Bay (R),92401,100477,92.0%
Albany Creek State High School,2155,2015,State High School,Secondary,Metropolitan,Metropolitan,Moreton Bay (R),109580.5,118447,92.5%
Albany Creek State School,190,2011,State School,Primary,Metropolitan,Metropolitan,Moreton Bay (R),73012,76959,94.9%
Albany Creek State School,190,2012,State School,Primary,Metropolitan,Metropolitan,Moreton Bay (R),71198.5,75081,94.8%
Albany Creek State School,190,2013,State School,Primary,Metropolitan,Metropolitan,Moreton Bay (R),69594,74388,93.6%
Albany Creek State School,190,2014,State School,Primary,Metropolitan,Metropolitan,Moreton Bay (R),75662.5,79867,94.7%
Albany Creek State School,190,2015,State School,Primary,Metropolitan,Metropolitan,Moreton Bay (R),71339,75327,94.7%
Albany Hills State School,1892,2011,State School,Primary,Metropolitan,Metropolitan,Moreton Bay (R),70189,74021,94.8%
Albany Hills State School,1892,2012,State School,Primary,Metropolitan,Metropolitan,Moreton Bay (R),67227,70605,95.2%
Albany Hills State School,1892,2013,State School,Primary,Metropolitan,Metropolitan,Moreton Bay (R),64241.5,67871,94.7%
Albany Hills State School,1892,2014,State School,Primary,Metropolitan,Metropolitan,Moreton Bay (R),69750.5,73282.5,95.2%
Albany Hills State School,1892,2015,State School,Primary,Metropolitan,Metropolitan,Moreton Bay (R),71517.5,74990,95.4%
Albert State School,38,2011,State School,Primary,Rural,North Coast,Fraser Coast (R),12236.5,13250,92.4%
Albert State School,38,2012,State School,Primary,Rural,North Coast,Fraser Coast (R),11202.5,11793,95.0%
Albert State School,38,2013,State School,Primary,Rural,North Coast,Fraser Coast (R),11543.5,12249,94.2%
Albert State School,38,2014,State School,Primary,Rural,North Coast,Fraser Coast (R),12681.5,13960.5,90.8%
Albert State School,38,2015,State School,Primary,Rural,North Coast,Fraser Coast (R),10474.5,11451,91.5%
Aldridge State High School,2017,2011,State High School,Secondary,Rural,North Coast,Fraser Coast (R),80417.5,89003,90.4%
Aldridge State High School,2017,2012,State High School,Secondary,Rural,North Coast,Fraser Coast (R),77010,85246,90.3%
Aldridge State High School,2017,2013,State High School,Secondary,Rural,North Coast,Fraser Coast (R),76805,84860,90.5%
Aldridge State High School,2017,2014,State High School,Secondary,Rural,North Coast,Fraser Coast (R),87442,97179,90.0%
Aldridge State High School,2017,2015,State High School,Secondary,Rural,North Coast,Fraser Coast (R),93926,104840.5,89.6%
Alexandra Bay State School,1963,2011,State School,Primary,Remote,Far North Queensland,Douglas (S),3231.5,3511,92.0%
Alexandra Bay State School,1963,2012,State School,Primary,Remote,Far North Queensland,Douglas (S),2820,3165,89.1%
Alexandra Bay State School,1963,2013,State School,Primary,Remote,Far North Queensland,Douglas (S),2902.5,3226,90.0%
Alexandra Bay State School,1963,2014,State School,Primary,Remote,Far North Queensland,Douglas (S),3259,3493,93.3%
Alexandra Bay State School,1963,2015,State School,Primary,Remote,Far North Queensland,Douglas (S),3294.5,3845,85.7%
Alexandra Hills State High School,2175,2011,State High School,Secondary,Metropolitan,South East,Redland (C),108687,121617,89.4%
Alexandra Hills State High School,2175,2012,State High School,Secondary,Metropolitan,South East,Redland (C),99202,111646,88.9%
Alexandra Hills State High School,2175,2013,State High School,Secondary,Metropolitan,South East,Redland (C),111548,125897,88.6%
Alexandra Hills State High School,2175,2014,State High School,Secondary,Metropolitan,South East,Redland (C),114375,127582,89.6%
Alexandra Hills State High School,2175,2015,State High School,Secondary,Metropolitan,South East,Redland (C),116078,128711,90.2%
Alexandra Hills State School,405,2011,State School,Primary,Metropolitan,South East,Redland (C),25266.5,27315,92.5%
Alexandra Hills State School,405,2012,State School,Primary,Metropolitan,South East,Redland (C),24215,26391,91.8%
Alexandra Hills State School,405,2013,State School,Primary,Metropolitan,South East,Redland (C),21689,24077,90.1%
Alexandra Hills State School,405,2014,State School,Primary,Metropolitan,South East,Redland (C),17776.5,19791,89.8%
Alexandra Hills State School,405,2015,State School,Primary,Metropolitan,South East,Redland (C),16279.5,18274,89.1%
Algester State School,1866,2011,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),87318.5,93276,93.6%
Algester State School,1866,2012,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),86632,91262,94.9%
Algester State School,1866,2013,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),85867.5,91684.5,93.7%
Algester State School,1866,2014,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),92210.5,98190,93.9%
Algester State School,1866,2015,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),91363.5,97439,93.8%
Allenstown State School,155,2011,State School,Primary,Provincial City,Central Queensland,Rockhampton (R),33461,36481,91.7%
Allenstown State School,155,2012,State School,Primary,Provincial City,Central Queensland,Rockhampton (R),33332.5,35886,92.9%
Allenstown State School,155,2013,State School,Primary,Provincial City,Central Queensland,Rockhampton (R),31396.5,34944,89.8%
Allenstown State School,155,2014,State School,Primary,Provincial City,Central Queensland,Rockhampton (R),33847.5,37540,90.2%
