School Code,School,Collection Year,Semester,EQ Zone,Region,Local Government Area,School Type,School Category,SDA Type,SDA Incident Count
0003,Allora P-10 State School,2010,Semester 1,Rural,Darling Downs South West,Southern Downs (R),State School,Combined,Long Suspension,1
0003,Allora P-10 State School,2010,Semester 1,Rural,Darling Downs South West,Southern Downs (R),State School,Combined,Short Suspension,4
0003,Allora P-10 State School,2010,Semester 2,Rural,Darling Downs South West,Southern Downs (R),State School,Combined,Short Suspension,2
0003,Allora P-10 State School,2011,Semester 1,Rural,Darling Downs South West,Southern Downs (R),State School,Combined,Short Suspension,4
0003,Allora P-10 State School,2011,Semester 2,Rural,Darling Downs South West,Southern Downs (R),State School,Combined,Short Suspension,4
0003,Allora P-10 State School,2012,Semester 1,Rural,Darling Downs South West,Southern Downs (R),State School,Combined,Short Suspension,14
0003,Allora P-10 State School,2012,Semester 2,Rural,Darling Downs South West,Southern Downs (R),State School,Combined,Short Suspension,1
0003,Allora P-10 State School,2013,Semester 1,Rural,Darling Downs South West,Southern Downs (R),State School,Combined,Short Suspension,2
0003,Allora P-10 State School,2013,Semester 2,Rural,Darling Downs South West,Southern Downs (R),State School,Combined,Short Suspension,5
0004,Bald Hills State School,2010,Semester 1,Metropolitan,Metropolitan,Brisbane (C),State School,Primary,Short Suspension,6
0004,Bald Hills State School,2010,Semester 2,Metropolitan,Metropolitan,Brisbane (C),State School,Primary,Long Suspension,1
0004,Bald Hills State School,2010,Semester 2,Metropolitan,Metropolitan,Brisbane (C),State School,Primary,Short Suspension,13
0004,Bald Hills State School,2011,Semester 1,Metropolitan,Metropolitan,Brisbane (C),State School,Primary,Long Suspension,1
0004,Bald Hills State School,2011,Semester 1,Metropolitan,Metropolitan,Brisbane (C),State School,Primary,Short Suspension,10
0004,Bald Hills State School,2011,Semester 2,Metropolitan,Metropolitan,Brisbane (C),State School,Primary,Short Suspension,3
0004,Bald Hills State School,2012,Semester 1,Metropolitan,Metropolitan,Brisbane (C),State School,Primary,Long Suspension,3
