CENTRE_CODE,SCHOOL,LOCALITY,YR3ENR,YR5ENR,YR7ENR,YR9ENR,YR3READMEAN,YR3WRITMEAN,YR3SPELMEAN,YR3GPMEAN,YR3NMCYMEAN,YR5READMEAN,YR5WRITMEAN,YR5SPELMEAN,YR5GPMEAN,YR5NMCYMEAN,YR7READMEAN,YR7WRITMEAN,YR7SPELMEAN,YR7GPMEAN,YR7NMCYMEAN,YR9READMEAN,YR9WRITMEAN,YR9SPELMEAN,YR9GPMEAN,YR9NMCYMEAN,YR3READPCTNMS,YR3WRITPCTNMS,YR3SPELPCTNMS,YR3GPPCTNMS,YR3NMCYPCTNMS,YR5READPCTNMS,YR5WRITPCTNMS,YR5SPELPCTNMS,YR5GPPCTNMS,YR5NMCYPCTNMS,YR7READPCTNMS,YR7WRITPCTNMS,YR7SPELPCTNMS,YR7GPPCTNMS,YR7NMCYPCTNMS,YR9READPCTNMS,YR9WRITPCTNMS,YR9SPELPCTNMS,YR9GPPCTNMS,YR9NMCYPCTNMS
5817,A B Paterson College,Arundel ,94,108,118,133,470,471,457,488,437,529,523,523,526,528,572,567,585,579,596,619,612,611,627,641,100%,100%,100%,100%,100%,99%,100%,98%,98%,98%,100%,100%,98%,97%,100%,100%,99%,98%,99%,100%
591,Abercorn State School,Abercorn ,6,2,5,--,370,383,368,395,358,^,^,^,^,^,521,485,513,502,509,--,--,--,--,--,100%,100%,83%,100%,100%,^,^,^,^,^,80%,80%,80%,80%,100%,--,--,--,--,--
1275,Abergowrie State School,Abergowrie ,1,2,--,--,*,*,*,*,*,^,^,^,^,^,--,--,--,--,--,--,--,--,--,--,*,*,*,*,*,^,^,^,^,^,--,--,--,--,--,--,--,--,--,--
5588,Aboriginal and Islander Independent Community School,Acacia Ridge ,15,13,12,13,306,284,278,255,332,429,377,407,404,432,440,426,459,426,439,512,473,538,467,518,78%,73%,36%,55%,100%,83%,56%,60%,70%,60%,82%,55%,55%,36%,90%,60%,44%,67%,44%,50%
25,Acacia Ridge State School,Acacia Ridge ,28,24,37,--,355,395,386,364,343,478,474,461,460,439,482,473,491,477,483,--,--,--,--,--,96%,89%,89%,85%,93%,91%,83%,79%,75%,83%,83%,80%,77%,69%,80%,--,--,--,--,--
1983,Agnes Water State School,Agnes Water ,36,33,37,--,396,405,374,406,367,494,432,460,483,484,559,500,532,555,556,--,--,--,--,--,97%,100%,89%,94%,89%,97%,84%,84%,91%,93%,97%,83%,86%,94%,100%,--,--,--,--,--
2421,Agnew School,Wakerley ,11,11,20,13,436,450,434,493,423,474,478,489,507,502,547,506,517,522,540,603,567,580,608,637,100%,100%,100%,100%,100%,100%,100%,82%,100%,100%,95%,90%,90%,90%,100%,100%,77%,85%,92%,100%
2425,Agnew School (Darling Downs),Toowoomba ,--,13,9,11,--,--,--,--,--,530,485,505,528,587,584,548,583,550,609,606,579,603,617,652,--,--,--,--,--,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,91%,100%
2424,Agnew School (Nambour),Nambour Heights ,6,4,4,6,459,435,477,500,411,^,^,^,^,^,^,^,^,^,^,599,547,594,608,618,100%,100%,100%,100%,100%,^,^,^,^,^,^,^,^,^,^,100%,67%,100%,100%,83%
2423,Agnew School (Wide Bay),Maryborough ,3,3,10,5,^,^,^,^,^,^,^,^,^,^,528,547,560,540,588,569,554,583,594,648,^,^,^,^,^,^,^,^,^,^,90%,90%,90%,90%,90%,100%,80%,100%,100%,100%
