Centre Code,Centre Name,DET Geographic Region,EQ Zone,Local Government Area,Centre Type,School Category,State Electorate,Collection Year,School Count
591,Abercorn State School,Central Queensland,Remote,North Burnett (R),State School,Primary,Callide,2008,1
1275,Abergowrie State School,North Queensland,Rural,Hinchinbrook (S),State School,Primary,Hinchinbrook,2008,1
25,Acacia Ridge State School,Metropolitan,Metropolitan,Brisbane (C),State School,Primary,Sunnybank,2008,1
1983,Agnes Water State School,North Coast,Rural,Gladstone (R),State School,Primary,Burnett,2008,1
598,Airville State School,North Queensland,Rural,Burdekin (S),State School,Primary,Burdekin,2008,1
801,Aitkenvale State School,North Queensland,Metropolitan,Townsville (C),State School,Primary,Mundingburra,2008,1
2155,Albany Creek State High School,Metropolitan,Metropolitan,Moreton Bay (R),State High School,Secondary,Everton,2008,1
190,Albany Creek State School,Metropolitan,Metropolitan,Moreton Bay (R),State School,Primary,Everton,2008,1
1892,Albany Hills State School,Metropolitan,Metropolitan,Moreton Bay (R),State School,Primary,Everton,2008,1
38,Albert State School,North Coast,Rural,Fraser Coast (R),State School,Primary,Maryborough,2008,1
2017,Aldridge State High School,North Coast,Rural,Fraser Coast (R),State High School,Secondary,Maryborough,2008,1
1963,Alexandra Bay State School,Far North Queensland,Remote,Cairns (R),State School,Primary,Cook,2008,1
2175,Alexandra Hills State High School,South East,Metropolitan,Redland (C),State High School,Secondary,Capalaba,2008,1
405,Alexandra Hills State School,South East,Metropolitan,Redland (C),State School,Primary,Capalaba,2008,1
1866,Algester State School,Metropolitan,Metropolitan,Brisbane (C),State School,Primary,Algester,2008,1
155,Allenstown State School,Central Queensland,Provincial City,Rockhampton (R),State School,Primary,Rockhampton,2008,1
773,Alligator Creek State School,Central Queensland,Rural,Mackay (R),State School,Primary,Mirani,2008,1
3,Allora State School,Darling Downs South West,Rural,Southern Downs (R),State School,Combined,Southern Downs,2008,1
430,Alloway State School,North Coast,Rural,Bundaberg (R),State School,Primary,Burnett,2008,1
870,Aloomba State School,Far North Queensland,Rural,Cairns (R),State School,Primary,Mulgrave,2008,1
517,Alpha State School,Central Queensland,Remote,Barcaldine (R),State School,Combined,Gregory,2008,1
1719,Amamoor State School,North Coast,Rural,Gympie (R),State School,Primary,Gympie,2008,1
115,Amberley State School,Metropolitan,Metropolitan,Ipswich (C),State School,Primary,Ipswich,2008,1
1415,Ambrose State School,Central Queensland,Rural,Gladstone (R),State School,Primary,Gladstone,2008,1
1629,Amiens State School,Darling Downs South West,Rural,Southern Downs (R),State School,Primary,Southern Downs,2008,1
474,Anakie State School,Central Queensland,Remote,Central Highlands (R),State School,Primary,Gregory,2008,1
1572,Andergrove State School,Central Queensland,Provincial City,Mackay (R),State School,Primary,Mackay,2008,1
440,Annandale State School,North Queensland,Metropolitan,Townsville (C),State School,Primary,Mundingburra,2008,1
1294,Applethorpe State School,Darling Downs South West,Rural,Southern Downs (R),State School,Primary,Southern Downs,2008,1
312,Aramac State School,Central Queensland,Remote,Barcaldine (R),State School,Combined,Gregory,2008,1
1266,Aratula State School,South East,Rural,Scenic Rim (R),State School,Primary,Beaudesert,2008,1
813,Arcadia Valley State School,Darling Downs South West,Remote,Central Highlands (R),State School,Primary,Gregory,2008,1
1997,Arundel State School,South East,Metropolitan,Gold Coast (C),State School,Primary,Southport,2008,1
296,Ascot State School,Metropolitan,Metropolitan,Brisbane (C),State School,Primary,Clayfield,2008,1
186,Ashgrove State School,Metropolitan,Metropolitan,Brisbane (C),State School,Primary,Ashgrove,2008,1
1871,Ashmore State School,South East,Metropolitan,Gold Coast (C),State School,Primary,Surfers Paradise,2008,1
512,Ashwell State School,Metropolitan,Rural,Ipswich (C),State School,Primary,Ipswich West,2008,1
1004,Aspley East State School,Metropolitan,Metropolitan,Brisbane (C),State School,Primary,Aspley,2008,1
3031,Aspley Special School,Metropolitan,Metropolitan,Brisbane (C),Special School,Special,Aspley,2008,1
2076,Aspley State High School,Metropolitan,Metropolitan,Brisbane (C),State High School,Secondary,Aspley,2008,1
610,Aspley State School,Metropolitan,Metropolitan,Brisbane (C),State School,Primary,Aspley,2008,1
