School Name,Centre Code,Region,Local Government Area,LOTE Language,School Category,Year 7 as Secondary,Year Level Sector
Abercorn State School,0591,Central Queensland,North Burnett (R),Japanese,Primary,No,P
Abergowrie State School,1275,North Queensland,Hinchinbrook (S),Italian,Primary,No,P
Acacia Ridge State School,0025,Metropolitan,Brisbane (C),French,Primary,No,P
Agnes Water State School,1983,North Coast,Gladstone (R),Indonesian,Primary,No,P
Airville State School,0598,North Queensland,Burdekin (S),Japanese,Primary,No,P
Aitkenvale State School,0801,North Queensland,Townsville (C),German,Primary,No,P
Albany Creek State High School,2155,Metropolitan,Moreton Bay (R),Japanese,Secondary,No,S
Albany Creek State School,0190,Metropolitan,Moreton Bay (R),Japanese,Primary,No,P
Albany Hills State School,1892,Metropolitan,Moreton Bay (R),Japanese,Primary,No,P
Albert State School,0038,North Coast,Fraser Coast (R),German,Primary,No,P
Aldridge State High School,2017,North Coast,Fraser Coast (R),Japanese,Secondary,No,S
Alexandra Hills State High School,2175,South East,Redland (C),German,Secondary,Yes,P/S
Alexandra Hills State High School,2175,South East,Redland (C),Italian,Secondary,Yes,P/S
Alexandra Hills State High School,2175,South East,Redland (C),Japanese,Secondary,Yes,P/S
Alexandra Hills State School,0405,South East,Redland (C),Italian,Primary,No,P
Algester State School,1866,Metropolitan,Brisbane (C),German,Primary,No,P
Allenstown State School,0155,Central Queensland,Rockhampton (R),Japanese,Primary,No,P
Alligator Creek State School,0773,Central Queensland,Mackay (R),Japanese,Primary,No,P
Allora P-10 State School,0003,Darling Downs South West,Southern Downs (R),Japanese,Combined,No,P/S
Alloway State School,0430,North Coast,Bundaberg (R),German,Primary,No,P
Alpha State School,0517,Central Queensland,Barcaldine (R),French,Combined,No,P/S
Amamoor State School,1719,North Coast,Gympie (R),German,Primary,No,P
Amberley District State School,0115,Metropolitan,Ipswich (C),French,Primary,No,P
Ambrose State School,1415,Central Queensland,Gladstone (R),German,Primary,No,P
Amiens State School,1629,Darling Downs South West,Southern Downs (R),Italian,Primary,No,P
Anakie State School,0474,Central Queensland,Central Highlands (R),Indonesian,Primary,No,P
Andergrove State School,1572,Central Queensland,Mackay (R),Japanese,Primary,No,P
Annandale State School,0440,North Queensland,Townsville (C),Chinese,Primary,No,P
Applethorpe State School,1294,Darling Downs South West,Southern Downs (R),Italian,Primary,No,P
Aramac State School,0312,Central Queensland,Barcaldine (R),French,Combined,No,P
Aratula State School,1266,South East,Scenic Rim (R),German,Primary,No,P
Arundel State School,1997,South East,Gold Coast (C),Japanese,Primary,No,P
Ascot State School,0296,Metropolitan,Brisbane (C),Japanese,Primary,No,P
Ashgrove State School,0186,Metropolitan,Brisbane (C),Chinese,Primary,No,P
Ashmore State School,1871,South East,Gold Coast (C),Japanese,Primary,No,P
Ashwell State School,0512,Metropolitan,Ipswich (C),German,Primary,No,P
Aspley East State School,1004,Metropolitan,Brisbane (C),Chinese,Primary,No,P
Aspley State High School,2076,Metropolitan,Brisbane (C),Chinese,Secondary,No,S
Aspley State School,0610,Metropolitan,Brisbane (C),Japanese,Primary,No,P
Atherton State High School,2051,Far North Queensland,Tablelands (R),Japanese,Secondary,No,S
Atherton State School,0789,Far North Queensland,Tablelands (R),Japanese,Primary,No,P
Augathella State School,0357,Darling Downs South West,Murweh (S),Japanese,Primary,No,P
Augusta State School,7120,Metropolitan,Ipswich (C),Japanese,Primary,No,P
Aviation High,2078,Metropolitan,Brisbane (C),Japanese,Secondary,No,S
Avoca State School,1901,North Coast,Bundaberg (R),German,Primary,No,P
Avondale State School,0572,North Coast,Bundaberg (R),Japanese,Primary,No,P
Ayr East State School,0908,North Queensland,Burdekin (S),Japanese,Primary,No,P
Ayr State High School,2008,North Queensland,Burdekin (S),Japanese,Secondary,No,S
Ayr State School,0451,North Queensland,Burdekin (S),Japanese,Primary,No,P
Babinda State School,1466,Far North Queensland,Cairns (R),Japanese,Combined,No,P/S
Bajool State School,0906,Central Queensland,Rockhampton (R),Japanese,Primary,No,P
Balaclava State School,1689,Far North Queensland,Cairns (R),Japanese,Primary,No,P
Bald Hills State School,0004,Metropolitan,Brisbane (C),German,Primary,No,P
Ballandean State School,1164,Darling Downs South West,Southern Downs (R),Italian,Primary,No,P
Balmoral State High School,2043,Metropolitan,Brisbane (C),Italian,Secondary,No,S
Balmoral State High School,2043,Metropolitan,Brisbane (C),Japanese,Secondary,No,S
Bambaroo State School,1367,North Queensland,Hinchinbrook (S),Italian,Primary,No,P
Banana State School,0521,Central Queensland,Banana (S),Japanese,Primary,No,P
Banksia Beach State School,1989,North Coast,Moreton Bay (R),Indonesian,Primary,No,P
Baralaba State School,1605,Central Queensland,Banana (S),Japanese,Combined,No,P
Barcaldine Prep-12 State School,0531,Central Queensland,Barcaldine (R),French,Combined,No,P/S
Bardon State School,1041,Metropolitan,Brisbane (C),Japanese,Primary,No,P
Bargara State School,0702,North Coast,Bundaberg (R),Japanese,Primary,No,P
Barkly Highway State School,0777,North Queensland,Mount Isa (C),Japanese,Primary,No,P
Bartle Frere State School,1730,Far North Queensland,Cairns (R),Japanese,Primary,No,P
Bauhinia State School,0387,Central Queensland,Central Highlands (R),Japanese,Primary,No,P
Bauple State School,0966,North Coast,Fraser Coast (R),German,Primary,No,P
Bay View State School,1798,South East,Redland (C),French,Primary,No,P
Beachmere State School,1961,North Coast,Moreton Bay (R),Chinese,Primary,No,P
Beaconsfield State School,1672,Central Queensland,Mackay (R),Japanese,Primary,No,P
Beaudesert State High School,2083,South East,Scenic Rim (R),Japanese,Secondary,No,S
Beaudesert State School,0158,South East,Scenic Rim (R),Japanese,Primary,No,P
Bedourie State School,1019,Central Queensland,Diamantina (S),French,Primary,No,P
Beechmont State School,0681,South East,Scenic Rim (R),Japanese,Primary,No,P
Beenleigh State High School,2084,South East,Logan (C),Japanese,Secondary,No,S
Beenleigh State School,0006,South East,Logan (C),Japanese,Primary,No,P
Beerburrum State School,1598,North Coast,Sunshine Coast (R),Spanish,Primary,No,P
Beerwah State High School,2109,North Coast,Sunshine Coast (R),Spanish,Secondary,No,S
Beerwah State School,0569,North Coast,Sunshine Coast (R),Spanish,Primary,No,P
Belgian Gardens State School,0509,North Queensland,Townsville (C),Japanese,Primary,No,P
Bell State School,0781,Darling Downs South West,Western Downs (R),Japanese,Combined,No,P/S
Bellenden Ker State School,1768,Far North Queensland,Cairns (R),Japanese,Primary,No,P
Bellevue Park State School,1925,South East,Gold Coast (C),Japanese,Primary,No,P
Belmont State School,0226,Metropolitan,Brisbane (C),Japanese,Primary,No,P
Benaraby State School,0393,Central Queensland,Gladstone (R),Japanese,Primary,No,P
Benarkin State School,1631,Darling Downs South West,South Burnett (R),Indonesian,Primary,No,P
Benowa State High School,2150,South East,Gold Coast (C),French,Secondary,No,S
Benowa State High School,2150,South East,Gold Coast (C),Italian,Secondary,No,S
Benowa State High School,2150,South East,Gold Coast (C),Japanese,Secondary,No,S
Benowa State High School,2150,South East,Gold Coast (C),Spanish,Secondary,No,S
Benowa State School,0481,South East,Gold Coast (C),French,Primary,No,P
Bentley Park College,0452,Far North Queensland,Cairns (R),Chinese,Combined,No,P/S
Berrinba East State School,1867,South East,Logan (C),Japanese,Primary,No,P
Berserker Street State School,1546,Central Queensland,Rockhampton (R),Japanese,Primary,No,P
Biddeston State School,1663,Darling Downs South West,Toowoomba (R),German,Primary,No,P
Biggenden State School,0666,Central Queensland,North Burnett (R),German,Combined,No,P/S
Biggera Waters State School,0065,South East,Gold Coast (C),Italian,Primary,No,P
Biloela State High School,2085,Central Queensland,Banana (S),Japanese,Secondary,No,S
Biloela State School,1822,Central Queensland,Banana (S),Japanese,Primary,No,P
Binjour Plateau State School,1397,Central Queensland,North Burnett (R),German,Primary,No,P
Birkdale South State School,1915,South East,Redland (C),German,Primary,No,P
Birkdale South State School,1915,South East,Redland (C),Japanese,Primary,No,P
Birkdale State School,1545,South East,Redland (C),Japanese,Primary,No,P
Blackall State School,0299,Central Queensland,Blackall Tambo (R),French,Combined,No,P/S
Blackbutt State School,0739,Darling Downs South West,South Burnett (R),Indonesian,Primary,No,P
Blackwater North State School,1891,Central Queensland,Central Highlands (R),French,Primary,No,P
Blackwater State High School,2134,Central Queensland,Central Highlands (R),French,Secondary,No,S
Blackwater State School,0396,Central Queensland,Central Highlands (R),French,Primary,No,P
Blair State School,1565,Metropolitan,Ipswich (C),Japanese,Primary,No,P
Blenheim State School,0316,Darling Downs South West,Lockyer Valley (R),German,Primary,No,P
Bli Bli State School,0952,North Coast,Sunshine Coast (R),Italian,Primary,No,P
Bloomfield River State School,1173,Far North Queensland,Cook (S),French,Primary,No,P
Bloomsbury State School,0981,Central Queensland,Mackay (R),Japanese,Primary,No,P
Bluewater State School,0612,North Queensland,Townsville (C),Japanese,Primary,No,P
Bluff State School,0344,Central Queensland,Central Highlands (R),French,Primary,No,P
Bohlevale State School,1299,North Queensland,Townsville (C),Japanese,Primary,No,P
Bollon State School,0425,Darling Downs South West,Balonne (S),Japanese,Primary,No,P
Boonah State High School,2105,South East,Scenic Rim (R),German,Secondary,No,S
Boonah State School,0333,South East,Scenic Rim (R),German,Primary,No,P
Boondall State School,1603,Metropolitan,Brisbane (C),German,Primary,No,P
Booyal Central State School,1542,North Coast,Bundaberg (R),German,Primary,No,P
Boronia Heights State School,1981,South East,Logan (C),Indonesian,Primary,No,P
Bororen State School,0899,Central Queensland,Gladstone (R),Japanese,Primary,No,P
Bouldercombe State School,0057,Central Queensland,Rockhampton (R),Japanese,Primary,No,P
Bounty Boulevard State School,6134,North Coast,Moreton Bay (R),Spanish,Primary,No,P
