GERMANTOWN,145.95399135,145.97895084,-17.62959448,-17.65277856
WIYARRA,152.18832228,152.23408848,-28.25583534,-28.29152305
BELIVAH,153.16642918,153.18585368,-27.75099213,-27.76717585
GOOLBOO,146.02049186,146.04081751,-17.71029534,-17.73504455
WOOCOO,152.28126986,152.39655650,-25.63757128,-25.69724757
NGATJAN,145.91485595,145.91636685,-17.46407508,-17.53044201
CROHAMHURST,152.83986498,152.88459057,-26.79299539,-26.83598059
BRASSALL,152.71576764,152.75576399,-27.57966261,-27.60296672
MOREGATTA,145.55434465,145.62116673,-17.47221737,-17.50595903
OPALTON,142.10763610,143.03256962,-22.38065282,-23.47982904
BURRUM HEADS,152.55074015,152.66328832,-25.17337822,-25.25144906
WILSONS PLAINS,152.62629644,152.68075560,-27.83115460,-27.85158709
MIDGEREE BAR,146.05993091,146.08971740,-17.79260426,-17.82335584
NORTH TOOWOOMBA,151.94451771,151.96483561,-27.54104599,-27.55264268
BOONDANDILLA,150.54219259,150.57629394,-27.80342864,-28.01970916
CHILDERS,152.24084461,152.29534584,-25.21737819,-25.27445616
DOCTOR CREEK,151.77041625,151.83825815,-27.14227529,-27.20581732
OWENS CREEK,148.66547295,148.74196630,-21.07248750,-21.12962396
ROSSMOYA,150.46676011,150.52568303,-22.99796237,-23.06260660
MOURA,149.84532966,150.03723955,-24.37603138,-24.59710909
GREENWOOD,151.72501373,151.75934335,-27.31404880,-27.36236381
BENARKIN,152.12955165,152.14747138,-26.87551931,-26.89969219
CALLIDE,150.43923605,150.55117179,-24.23155577,-24.33408917
MCDOWALL,152.98066694,153.00327682,-27.37112588,-27.39367975
KERRY,152.98572451,153.08283819,-28.02039465,-28.18183816
COOMINGLAH FOREST,150.87866085,151.08505073,-24.77168639,-25.00376748
CARRARA,153.34391500,153.39298002,-27.99657050,-28.04429342
TOOLAKEA,146.56914534,146.58847477,-19.14564778,-19.14761345
OLD COORANGA,151.33444331,151.50192513,-25.70358561,-25.90686302
INDOOROOPILLY,152.95525139,153.00848916,-27.49026711,-27.52023059
WALKERSTON,149.04570578,149.08655601,-21.14012675,-21.17631590
ATHERTON,145.42987481,145.53757723,-17.21613967,-17.32363429
JONES GULLY,151.98802883,152.02005398,-27.16043799,-27.20539855
PILE GULLY,151.43592161,151.53363258,-25.70563228,-25.80994529
TEELAH,152.06613602,152.12071717,-26.73829839,-26.80655809
CORNISH CREEK,144.55551147,144.87820499,-22.07363312,-22.69132518
